VendorID,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge,cbd_congestion_fee,trip_duration,pickup_hour,pickup_day,pickup_dayofweek,is_weekend,is_rush_hour
2,N,1,130,258,1,2.43,12.1,1.0,0.5,0.0,0.0,1.0,14.6,1,1,0.0,0.0,544.0,1,1,5,1,0
2,N,1,256,144,1,2.48,14.2,1.0,0.5,4.04,0.0,1.0,24.24,1,1,2.75,0.75,644.0,1,1,5,1,0
2,N,1,82,70,1,3.46,16.3,1.0,0.5,0.8,0.0,1.0,19.6,1,1,0.0,0.0,633.0,1,1,5,1,0
2,N,1,74,151,1,1.72,12.1,1.0,0.5,2.0,0.0,1.0,16.6,1,1,0.0,0.0,599.0,1,1,5,1,0
2,N,1,74,41,1,1.08,8.6,1.0,0.5,2.22,0.0,1.0,13.32,1,1,0.0,0.0,409.0,1,1,5,1,0
2,N,1,82,70,1,3.06,14.9,1.0,0.5,5.22,0.0,1.0,22.62,1,1,0.0,0.0,512.0,2,1,5,1,0
2,N,1,82,7,2,1.9,14.2,1.0,0.5,0.0,0.0,1.0,16.7,1,1,0.0,0.0,838.0,2,1,5,1,0
2,N,1,255,112,1,1.34,9.3,1.0,0.5,0.0,0.0,1.0,11.8,2,1,0.0,0.0,440.0,2,1,5,1,0
2,N,5,112,264,0,0.0,20.0,0.0,0.0,0.08,0.0,1.0,21.08,1,2,0.0,0.0,2.0,2,1,5,1,0
2,N,1,244,42,2,1.43,9.3,1.0,0.5,0.0,0.0,1.0,11.8,2,1,0.0,0.0,410.0,2,1,5,1,0
2,N,1,244,247,2,2.33,15.6,1.0,0.5,0.0,0.0,1.0,18.1,2,1,0.0,0.0,858.0,2,1,5,1,0
2,N,1,74,152,2,1.29,10.0,1.0,0.5,0.0,0.0,1.0,12.5,2,1,0.0,0.0,649.0,2,1,5,1,0
2,N,1,152,264,2,0.0,3.0,1.0,0.5,6.0,0.0,1.0,11.5,1,1,0.0,0.0,2.0,2,1,5,1,0
2,N,1,95,95,1,0.26,3.7,1.0,0.5,0.0,0.0,1.0,6.2,2,1,0.0,0.0,68.0,2,1,5,1,0
2,N,5,80,17,1,3.1,30.0,0.0,0.0,2.0,0.0,1.0,33.0,1,2,0.0,0.0,908.0,2,1,5,1,0
2,N,1,82,198,1,4.06,21.9,1.0,0.5,0.0,0.0,1.0,24.4,2,1,0.0,0.0,1281.0,2,1,5,1,0
2,N,5,80,225,1,1.83,25.0,0.0,0.0,4.0,0.0,1.0,30.0,1,2,0.0,0.0,658.0,2,1,5,1,0
2,N,5,80,225,1,2.58,30.0,0.0,0.0,0.0,0.0,1.0,31.0,1,2,0.0,0.0,605.0,2,1,5,1,0
2,N,1,83,129,1,0.49,6.5,1.0,0.5,1.8,0.0,1.0,10.8,1,1,0.0,0.0,280.0,3,1,5,1,0
